city_name,country_name,latitude,longitude,temperature,humidity,cloudiness,wind_speed,retrieved
longyearbyen,sj,78.22,15.64,1.4,54,20,14.99,03/16/2019
mao,td,14.12,15.31,95.68,12,8,17.36,03/16/2019
touros,br,-5.2,-35.46,86,70,75,16.11,03/16/2019
hambantota,lk,6.12,81.12,80.6,94,20,5.82,03/16/2019
snyder,us,32.72,-100.92,44.1,48,90,6.93,03/16/2019
hays,us,38.88,-99.33,41.31,60,1,4.7,03/16/2019
palafrugell,es,41.92,3.16,65.68,59,0,10.29,03/16/2019
seymchan,ru,62.93,152.39,-26,38,32,2.15,03/16/2019
salinopolis,br,-0.61,-47.36,82.09,95,80,10.76,03/16/2019
doctor arroyo,mx,23.67,-100.18,46.99,82,92,4.16,03/16/2019
saint-francois,gp,16.25,-61.27,82.4,65,40,11.41,03/16/2019
frunze,ua,46.83,29.88,48.34,67,56,13.67,03/16/2019
pangai,to,-19.8,-174.35,76.6,100,80,7.07,03/16/2019
forbes,au,-33.38,148.01,66.99,73,44,6.96,03/16/2019
awjilah,ly,29.14,21.3,70.39,41,0,6.29,03/16/2019
rabo de peixe,pt,37.8,-25.58,62.6,82,40,13.87,03/16/2019
surat,in,21.19,72.81,84.2,42,0,4.7,03/16/2019
ngunguru,nz,-35.62,174.5,60.01,95,56,7.4,03/16/2019
balkanabat,tm,39.51,54.36,53.02,75,0,2.37,03/16/2019
moussoro,td,13.64,16.49,96.58,13,36,16.35,03/16/2019
constantine,dz,36.36,6.61,69.8,35,0,12.75,03/16/2019
najran,sa,17.54,44.22,87.8,23,40,11.41,03/16/2019
empangeni,za,-28.75,31.9,83.17,59,44,11.1,03/16/2019
mayuge,ug,0.46,33.48,85.33,58,20,2.93,03/16/2019
leshan,cn,29.56,103.76,52.66,92,92,2.71,03/16/2019
taoudenni,ml,22.68,-3.98,89.11,14,0,7.63,03/16/2019
evensk,ru,61.92,159.24,-1.79,100,20,3.94,03/16/2019
revda,ru,67.94,34.55,27.1,89,44,3.04,03/16/2019
mbabane,sz,-26.33,31.14,77.27,42,20,8.05,03/16/2019
mezhdurechenskiy,ru,59.59,65.91,24.31,76,88,8.63,03/16/2019
necochea,ar,-38.55,-58.74,72,75,92,8.99,03/16/2019
magdagachi,ru,53.45,125.8,17.02,71,24,4.72,03/16/2019
asasa,et,7.1,39.2,69.4,24,88,1.7,03/16/2019
beloha,mg,-25.17,45.06,83.08,47,0,16.24,03/16/2019
laurel,us,31.69,-89.13,50.99,57,1,11.41,03/16/2019
san jeronimo,mx,29.37,-110.79,56.95,62,5,3.36,03/16/2019
merauke,id,-8.49,140.4,74.35,100,88,13,03/16/2019
kimbe,pg,-5.56,150.15,73.9,100,92,1.7,03/16/2019
souillac,mu,-20.52,57.52,81.55,74,40,5.82,03/16/2019
uyuni,bo,-20.46,-66.82,61.75,7,0,7.18,03/16/2019
lethem,gy,3.38,-59.8,92.53,45,32,15.01,03/16/2019
ban tak,th,17.04,99.08,77.41,74,0,3.6,03/16/2019
comodoro rivadavia,ar,-45.87,-67.48,71.6,53,0,14.99,03/16/2019
saint-joseph,re,-21.37,55.62,76.98,61,75,1.12,03/16/2019
kovdor,ru,67.56,30.47,32.14,73,88,3.49,03/16/2019
tianpeng,cn,28.88,112.34,51.31,92,20,2.71,03/16/2019
semey,kz,50.41,80.25,16.03,81,0,3.94,03/16/2019
talara,pe,-4.58,-81.27,62.6,290,0,9.17,03/16/2019
novyy urgal,ru,51.07,132.56,11.89,65,12,3.15,03/16/2019
tezu,in,27.93,96.16,52.03,98,80,1.48,03/16/2019
adrar,dz,27.87,-0.29,82.4,9,0,12.75,03/16/2019
petropavlovsk-kamchatskiy,ru,53.05,158.65,12.2,72,0,6.71,03/16/2019
charlestown,kn,17.13,-62.62,81.46,61,40,16.11,03/16/2019
shache,cn,38.42,77.24,48.99,41,36,1.01,03/16/2019
teruel,es,40.34,-1.11,68.32,12,0,11.41,03/16/2019
shiyan,cn,32.65,110.78,55.99,54,32,3,03/16/2019
sal rei,cv,16.18,-22.92,82.65,42,0,14.99,03/16/2019
anchorage,us,61.22,-149.89,33.39,100,40,4.7,03/16/2019
carnot,cf,4.94,15.87,87.94,61,0,3.94,03/16/2019
usak,tr,38.67,29.41,45.37,78,0,6.62,03/16/2019
aswan,eg,24.09,32.9,78.8,13,0,16.11,03/16/2019
idenao,cm,4.25,9,82.4,74,75,4.7,03/16/2019
jabinyanah,tn,35.03,10.91,71.6,33,0,12.75,03/16/2019
nalut,ly,31.86,10.98,67.24,55,0,4.27,03/16/2019
mogadishu,so,2.04,45.34,82.45,97,0,17.25,03/16/2019
agadez,ne,16.97,7.99,93.2,9,0,21.92,03/16/2019
tha bo,th,17.85,102.58,79.79,78,0,2.24,03/16/2019
labytnangi,ru,66.66,66.39,-2.87,61,48,0.81,03/16/2019
rucheng,cn,25.55,113.68,51.4,96,92,2.37,03/16/2019
caravelas,br,-17.73,-39.27,83.35,100,24,13.33,03/16/2019
nenjiang,cn,49.17,125.23,16.21,60,0,3.15,03/16/2019
bagdarin,ru,54.44,113.59,25.21,66,8,8.19,03/16/2019
makakilo city,us,21.35,-158.09,64.02,82,1,4.7,03/16/2019
gold coast,au,-28,153.41,69.06,94,90,5.82,03/16/2019
potchefstroom,za,-26.71,27.1,82.81,43,0,4.5,03/16/2019
ternate,id,0.8,127.4,82.36,99,0,14.12,03/16/2019
namibe,ao,-15.19,12.15,80.74,93,0,10.76,03/16/2019
camacari,br,-12.7,-38.32,87.8,62,40,12.75,03/16/2019
uzhur,ru,55.32,89.85,31.33,62,0,9.19,03/16/2019
pedasi,pa,7.53,-80.03,75.61,90,0,16.46,03/16/2019
portland,au,-33.35,149.98,58.15,99,92,5.01,03/16/2019
polyarnyye zori,ru,67.37,32.5,32.95,84,88,3.71,03/16/2019
springbok,za,-29.67,17.88,90.91,18,48,8.19,03/16/2019
guatire,ve,10.47,-66.54,79.16,69,75,13.87,03/16/2019
wenling,cn,28.38,121.38,52.12,92,92,2.48,03/16/2019
bantry,ie,51.68,-9.45,43.66,87,75,11.41,03/16/2019
havre,us,48.55,-109.68,19.54,85,1,2.93,03/16/2019
lalas,gr,37.72,21.72,60.91,45,20,4.7,03/16/2019
meadow lake,ca,54.13,-108.44,21.2,67,20,9.17,03/16/2019
dawei,mm,14.07,98.19,76.15,70,0,2.15,03/16/2019
rafaela,ar,-31.25,-61.49,75.99,71,64,5.01,03/16/2019
brae,gb,60.4,-1.35,42.8,81,88,5.82,03/16/2019
kailua,us,21.39,-157.74,64.02,91,1,2.37,03/16/2019
ballina,ie,54.11,-9.15,41,93,75,24.16,03/16/2019
sitarganj,in,28.92,79.7,65.53,69,44,5.73,03/16/2019
ca mau,vn,9.18,105.15,80.47,86,0,10.31,03/16/2019
los llanos de aridane,es,28.66,-17.92,67.75,64,0,12.75,03/16/2019
okhotsk,ru,59.36,143.24,8.2,100,48,5.06,03/16/2019
bozoum,cf,6.31,16.38,93.52,28,64,10.31,03/16/2019
khorixas,na,-20.37,14.96,98.11,16,0,6.73,03/16/2019
chambas,cu,22.19,-78.91,82.4,54,40,10.29,03/16/2019
tianjin,cn,39.12,117.2,44.6,52,0,2.24,03/16/2019
alnashi,ru,56.18,52.48,23.86,84,80,7.63,03/16/2019
burnie,au,-41.05,145.91,59,85,0,5.99,03/16/2019
moranbah,au,-22,148.04,69.67,93,24,7.52,03/16/2019
puerto montt,cl,-41.47,-72.94,62.6,77,0,4.7,03/16/2019
gurupi,br,-11.73,-49.07,77.77,100,88,4.94,03/16/2019
beyneu,kz,45.32,55.19,40.6,62,92,16.58,03/16/2019
itoman,jp,26.12,127.67,60.75,51,0,3.36,03/16/2019
sangar,ru,63.92,127.47,-9.53,66,0,3.6,03/16/2019
stokmarknes,no,68.56,14.91,32.61,47,75,5.82,03/16/2019
bud,no,62.91,6.91,38.44,55,40,17.22,03/16/2019
arman,ru,59.7,150.17,0.28,70,64,3.15,03/16/2019
yavaros,mx,26.7,-109.52,55.94,90,32,5.95,03/16/2019
ocampo,mx,27.32,-102.4,39.34,44,92,8.19,03/16/2019
baykit,ru,61.68,96.39,9.91,64,0,4.94,03/16/2019
korla,cn,41.76,86.15,34,73,0,7,03/16/2019
cabiraoan,ph,18.32,122.09,74.98,100,92,22.73,03/16/2019
orlik,ru,52.51,99.83,12.79,61,0,3.6,03/16/2019
chabahar,ir,25.29,60.65,73.45,92,0,8.3,03/16/2019
neiafu,to,-18.65,-173.98,75.2,94,40,8.97,03/16/2019
iwaki,jp,37.05,140.89,31.91,59,0,10.76,03/16/2019
ligayan,ph,4.65,119.47,81.46,99,8,13.22,03/16/2019
wanning,cn,18.8,110.4,74.35,98,92,6.51,03/16/2019
nuuk,gl,64.17,-51.74,24.39,49,75,4.61,03/16/2019
herat,af,34.35,62.22,55.4,82,40,3.36,03/16/2019
kuala terengganu,my,5.33,103.14,80.11,78,75,3.36,03/16/2019
bubaque,gw,11.28,-15.83,86.95,71,0,3.6,03/16/2019
port hardy,ca,50.7,-127.42,46.4,81,90,18.34,03/16/2019
seoul,kr,37.57,126.98,35.19,80,1,1.12,03/16/2019
kigoma,tz,-4.88,29.64,82.36,87,0,5.06,03/16/2019
kajaani,fi,64.22,27.73,33.8,85,90,10.29,03/16/2019
tevaitoa,pf,-16.78,-151.5,82.45,100,68,6.4,03/16/2019
chernenko,ru,44.37,39.31,40.06,100,92,2.48,03/16/2019
miranda,br,-20.24,-56.38,88.3,81,0,5.5,03/16/2019
ovsyanka,ru,53.58,126.91,16.93,72,8,4.05,03/16/2019
madison,us,43.07,-89.38,30.47,94,1,6.93,03/16/2019
camapua,br,-19.53,-54.04,84.97,83,20,5.06,03/16/2019
lukovetskiy,ru,64.29,41.92,35.6,80,75,6.71,03/16/2019
huarmey,pe,-10.07,-78.15,77.14,67,0,3.83,03/16/2019
hami,cn,42.84,93.51,39.97,61,0,4.05,03/16/2019
kisujszallas,hu,47.22,20.77,50.83,83,0,13.87,03/16/2019
mayumba,ga,-3.44,10.65,84.7,91,32,5.95,03/16/2019
sungaipenuh,id,-2.08,101.38,65.17,93,0,0.69,03/16/2019
grande prairie,ca,55.17,-118.79,8.6,84,20,2.24,03/16/2019
guasdualito,ve,7.24,-70.73,89.6,46,40,5.82,03/16/2019
bukachacha,ru,52.99,116.91,18.91,74,0,4.94,03/16/2019
manuk mangkaw,ph,4.8,119.85,81.64,99,44,11.43,03/16/2019
lerwick,gb,60.15,-1.15,42.8,75,20,4.7,03/16/2019
neuquen,ar,-38.95,-68.06,64.4,63,40,5.82,03/16/2019
xuddur,so,4.12,43.89,92.98,21,0,10.09,03/16/2019
kamaishi,jp,39.28,141.86,32.86,70,8,8.63,03/16/2019
vallenar,cl,-28.58,-70.76,68.86,67,0,1.59,03/16/2019
buala,sb,-8.15,159.59,80.38,96,0,3.15,03/16/2019
nisia floresta,br,-6.09,-35.21,86.86,58,40,13.87,03/16/2019
campbellsville,us,37.34,-85.34,43.02,48,1,6.93,03/16/2019
chapais,ca,49.78,-74.86,8.6,78,90,18.34,03/16/2019
primero de enero,cu,21.94,-78.43,82.4,54,40,10.29,03/16/2019
ust-maya,ru,60.42,134.54,-4.58,64,0,2.15,03/16/2019
keetmanshoop,na,-26.57,18.15,102.2,12,8,4.7,03/16/2019
leogane,ht,18.51,-72.63,84.2,58,20,16.11,03/16/2019
emerald,au,-23.53,148.16,72,94,90,2.24,03/16/2019
krotoszyn,pl,51.7,17.44,47.26,43,92,8.99,03/16/2019
toora-khem,ru,52.47,96.11,21.25,70,8,3.6,03/16/2019
nhulunbuy,au,-12.18,136.78,80.6,88,40,2.24,03/16/2019
mosonmagyarovar,hu,47.87,17.27,45.99,87,75,2.24,03/16/2019
calbuco,cl,-41.77,-73.13,62.6,77,0,4.7,03/16/2019
susner,in,23.94,76.1,73.18,36,48,9.75,03/16/2019
ormara,pk,25.21,64.64,72.37,77,8,3.94,03/16/2019
tullahoma,us,35.36,-86.21,45.03,42,1,10.29,03/16/2019
boyolangu,id,-8.09,111.9,72.73,83,76,6.73,03/16/2019
loa janan,id,-0.58,117.09,75.61,93,68,2.04,03/16/2019
yinchuan,cn,38.48,106.21,28.27,32,12,4.94,03/16/2019
calabozo,ve,8.92,-67.43,91.09,48,0,16.8,03/16/2019
alpena,us,45.06,-83.43,27.16,63,90,19.46,03/16/2019
nelson bay,au,-32.72,152.14,67.48,100,75,10.29,03/16/2019
west wendover,us,40.74,-114.07,30.2,86,1,3.36,03/16/2019
calamar,co,1.96,-72.65,85.78,67,32,2.93,03/16/2019
baymak,ru,52.6,58.31,15.04,77,0,2.71,03/16/2019
tanabe,jp,33.73,135.39,42.01,85,0,6.06,03/16/2019
san andres,co,8.22,-76.58,84.2,74,40,11.41,03/16/2019
dalvik,is,65.97,-18.53,35.6,64,40,9.17,03/16/2019
yelanskiy,ru,56.84,62.5,20.35,73,0,9.64,03/16/2019
sola,vu,-13.88,167.55,83.08,98,88,10.76,03/16/2019
ustka,pl,54.58,16.86,41.14,93,48,19.37,03/16/2019
vietri sul mare,it,40.67,14.73,60.57,82,40,6.93,03/16/2019
jacobina,br,-11.19,-40.51,85.87,50,0,8.75,03/16/2019
berlevag,no,70.86,29.09,29.26,100,20,11.65,03/16/2019
slave lake,ca,55.28,-114.77,19.4,73,0,5.82,03/16/2019
luang prabang,la,19.89,102.14,72.1,76,0,2.59,03/16/2019
horki,by,54.29,30.98,38.8,97,80,9.19,03/16/2019
schoneiche,de,52.47,13.68,41.76,93,90,8.05,03/16/2019
new baltimore,us,42.68,-82.74,33.15,92,40,13.87,03/16/2019
galle,lk,6.04,80.22,76.69,100,48,6.73,03/16/2019
rodrigues alves,br,-7.74,-72.65,78.8,88,90,3.36,03/16/2019
port macquarie,au,-31.43,152.91,66.45,88,40,6.93,03/16/2019
constitucion,mx,23.99,-104.67,50.05,45,90,6.93,03/16/2019
tomatlan,mx,19.93,-105.25,70.3,78,56,3.15,03/16/2019
panama city,us,30.16,-85.65,56.32,62,90,9.17,03/16/2019
mayo,ca,63.59,-135.9,26.6,58,75,12.75,03/16/2019
solano,co,0.7,-75.25,84.34,80,12,2.93,03/16/2019
mvuma,zw,-19.28,30.53,65.26,100,92,6.85,03/16/2019
thinadhoo,mv,0.53,72.93,81.73,100,24,2.37,03/16/2019
fuerte,ph,17.54,120.36,70.75,92,100,3.04,03/16/2019
aguimes,es,27.91,-15.45,70.63,73,20,24.16,03/16/2019
chinhoyi,zw,-17.36,30.19,69.4,97,88,4.16,03/16/2019
kijang,id,0.9,104.63,82.4,74,20,5.82,03/16/2019
ibra,om,22.69,58.55,69.49,53,0,3.15,03/16/2019
ulaangom,mn,49.98,92.07,23.32,82,0,5.61,03/16/2019
ushtobe,kz,45.25,77.98,45.01,83,0,3.71,03/16/2019
arenapolis,br,-14.45,-56.85,89.2,83,12,4.5,03/16/2019
oromocto,ca,45.85,-66.47,42.94,87,90,12.75,03/16/2019
ridgecrest,us,35.62,-117.67,46.72,48,1,4.7,03/16/2019
lodja,cd,-3.52,23.6,75.25,90,36,3.04,03/16/2019
soe,id,-9.86,124.28,69.4,96,88,1.92,03/16/2019
kindu,cd,-2.95,25.92,78.76,80,24,5.39,03/16/2019
asosa,et,10.07,34.53,93.16,16,0,6.29,03/16/2019
leon,es,42.6,-5.57,69.01,24,0,12.75,03/16/2019
palmer,us,61.6,-149.11,33.3,64,90,11.41,03/16/2019
atbasar,kz,51.81,68.36,16.12,76,0,6.62,03/16/2019
midyat,tr,37.42,41.36,50.47,76,90,12.75,03/16/2019
gotsu,jp,35.01,132.22,40.96,89,0,8.86,03/16/2019
katobu,id,-4.94,122.53,74.35,100,80,1.92,03/16/2019
porto novo,cv,17.02,-25.06,80.6,47,75,24.16,03/16/2019
jiayuguan,cn,39.77,98.29,26.29,62,64,6.85,03/16/2019
frutal,br,-20.02,-48.93,83.17,90,12,4.5,03/16/2019
jumla,np,29.28,82.18,27.64,82,56,2.48,03/16/2019
benghazi,ly,32.12,20.07,61.3,100,0,8.08,03/16/2019
kanniyakumari,in,8.08,77.57,85.6,94,0,17.25,03/16/2019
ust-tsilma,ru,65.44,52.15,29.98,80,88,6.62,03/16/2019
tagbac,ph,7.09,125.16,78.8,78,90,8.05,03/16/2019
miracema do tocantins,br,-9.56,-48.4,89.47,67,8,10.09,03/16/2019
bekhtery,ua,46.25,32.3,42.8,87,75,17.9,03/16/2019
purbalingga,id,-7.39,109.36,71.56,94,68,2.48,03/16/2019
emporia,us,38.4,-96.18,42.8,56,1,12.75,03/16/2019
pilar,ph,14.67,120.55,78.55,69,20,4.7,03/16/2019
parit raja,my,1.87,103.11,78.8,88,75,1.12,03/16/2019
eureka,us,40.8,-124.16,40.33,100,90,4.83,03/16/2019
ketchikan,us,55.34,-131.65,45.14,81,90,32.21,03/16/2019
knysna,za,-34.04,23.05,82.4,54,20,5.82,03/16/2019
auki,sb,-8.77,160.7,79.03,100,8,4.61,03/16/2019
