city_name,country_name,latitude,longitude,temperature,humidity,cloudiness,wind_speed
minsk,by,53.9,27.56,37.4,93,75,6.71
polyarnyy,ru,69.2,33.45,35.6,69,75,4.47
opuwo,na,-18.06,13.84,94.06,20,0,5.5
dunedin,nz,-45.87,170.5,55.99,92,76,2.59
khandbari,np,27.38,87.21,31.33,65,0,1.7
chapais,ca,49.78,-74.86,8.6,78,90,14.99
baruun-urt,mn,46.68,113.28,23.41,60,0,2.82
robe,et,7.12,40.01,72.82,27,0,6.62
waipawa,nz,-39.94,176.59,57,89,0,2.59
kolosovka,ru,56.47,73.61,21.88,88,76,14
gimli,ca,50.63,-96.99,3.99,92,12,3.71
oistins,bb,13.07,-59.53,82.4,65,75,20.8
khonsa,in,26.99,95.51,59.5,90,48,2.59
khadzhalmakhi,ru,42.42,47.18,50,71,20,11.18
carauari,br,-4.88,-66.9,84.34,84,20,3.71
pitsunda,ge,43.16,40.34,46.15,93,90,6.71
marienburg,sr,5.88,-55.04,83.55,70,40,11.41
valverde del camino,es,37.57,-6.75,76.21,28,8,4
oktyabrskiy,ru,55.61,37.97,32.58,91,90,11.18
mookane,bw,-23.68,26.66,88.48,29,0,9.19
salinopolis,br,-0.61,-47.36,82.09,95,80,10.76
fairbanks,us,64.84,-147.72,31.89,43,1,10.29
lexington park,us,38.26,-76.45,47.32,49,1,6.93
manubul,ph,5.47,120.8,81.82,100,0,12.21
altamira,br,-3.2,-52.21,80.6,88,75,9.17
puerto colombia,co,10.99,-74.96,81.34,69,20,9.17
te anau,nz,-45.41,167.72,36.1,90,0,2.26
qaqortoq,gl,60.72,-46.03,21.2,48,75,3.36
loa janan,id,-0.58,117.09,75.61,93,68,2.04
gamovo,ru,57.87,56.11,30.2,63,0,6.71
gornopravdinsk,ru,60.06,69.92,19.27,76,88,8.3
sangmelima,cm,2.93,11.98,78.85,73,48,3.15
saqqez,ir,36.24,46.27,41.32,75,48,4.94
salalah,om,17.01,54.1,80.6,65,40,11.41
vanavara,ru,60.35,102.28,18.01,68,0,5.28
tagusao,ph,9.19,117.81,78.67,88,0,7.74
phuket,th,7.89,98.4,84.2,66,40,6.93
khandyga,ru,62.65,135.58,-7.37,59,0,2.59
konevo,ru,56.45,43.2,32,91,75,8.95
analipsis,gr,35.32,25.57,61.88,55,40,18.34
hervey bay,au,-25.3,152.85,73.71,94,75,6.93
aginskoye,ru,51.11,114.54,26.01,59,0,4
zyryanka,ru,65.73,150.89,-15.02,44,48,2.15
locri,it,38.24,16.26,62.49,59,20,11.41
katobu,id,-4.94,122.53,74.35,100,80,1.92
honiara,sb,-9.43,159.96,72.19,100,20,2.71
edea,cm,3.8,10.13,77,88,75,6.93
lagoa,pt,37.14,-8.45,68.4,42,0,12.75
santa rosa de viterbo,br,-21.49,-47.37,78.75,78,40,4.7
nakhon si thammarat,th,8.43,99.96,82.4,74,20,1.12
independencia,py,-25.72,-56.25,73,97,92,3.04
